category,name,link
Beverage Alcoholic,Arrack,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=8
Beverage Alcoholic,Bantu Beer,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=10
Beverage Alcoholic,Beer,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=9
Beverage Alcoholic,Berry Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=759
Beverage Alcoholic,Beverage Alcolohic Other,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=488
Beverage Alcoholic,Bilberry Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=33
Beverage Alcoholic,Blackberry Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=15
Beverage Alcoholic,Botrytized Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=34
Beverage Alcoholic,Bourbon Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=26
Beverage Alcoholic,Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=11
Beverage Alcoholic,Canadian Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=27
Beverage Alcoholic,Champagne,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=35
Beverage Alcoholic,Cherry Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=16
Beverage Alcoholic,Cider,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=36
Beverage Alcoholic,Cognac Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=17
Beverage Alcoholic,Finnish Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=28
Beverage Alcoholic,Gin,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=23
Beverage Alcoholic,Japanese Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=29
Beverage Alcoholic,Madeira Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=765
Beverage Alcoholic,Malt Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=30
Beverage Alcoholic,Papaya Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=18
Beverage Alcoholic,Pear Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=19
Beverage Alcoholic,Plum Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=20
Beverage Alcoholic,Plum Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=37
Beverage Alcoholic,Port Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=38
Beverage Alcoholic,Raspberry Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=21
Beverage Alcoholic,Red Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=39
Beverage Alcoholic,Rose Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=40
Beverage Alcoholic,Rum,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=24
Beverage Alcoholic,Sake,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=41
Beverage Alcoholic,Scotch Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=31
Beverage Alcoholic,Sherry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=42
Beverage Alcoholic,Sparkling Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=43
Beverage Alcoholic,Spirit,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=487
Beverage Alcoholic,Strawberry Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=44
Beverage Alcoholic,Vermouth,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=764
Beverage Alcoholic,Vodka,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=762
Beverage Alcoholic,Weinbrand Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=22
Beverage Alcoholic,Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=25
Beverage Alcoholic,White Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=45
Beverage Alcoholic,Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=32
Beverage Caffeinated,Arabica Coffee,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=419
Beverage Caffeinated,Black Tea,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=48
Beverage Caffeinated,Coffee,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=46
Beverage Caffeinated,Coffee Mocha,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=867
Beverage Caffeinated,Green Tea,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=49
Beverage Caffeinated,Mate,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=47
Beverage Caffeinated,Roibos Tea,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=50
Beverage,Anise Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=12
Beverage,Apple Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=13
Beverage,Arabica Coffee,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=419
Beverage,Armagnac Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=14
Beverage,Arrack,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=8
Beverage,Bantu Beer,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=10
Beverage,Beer,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=9
Beverage,Berry Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=759
Beverage,Beverage Alcolohic Other,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=488
Beverage,Bilberry Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=33
Beverage,Black Tea,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=48
Beverage,Blackberry Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=15
Beverage,Botrytized Wine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=34
Beverage,Bourbon Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=26
Beverage,Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=11
Beverage,Canadian Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=27
Beverage,Champagne,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=35
Beverage,Cherry Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=16
Beverage,Cider,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=36
Beverage,Cocktail,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=863
Beverage,Coffee,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=46
Beverage,Coffee Mocha,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=867
Beverage,Cognac Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=17
Beverage,Energy Drink,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=830
Beverage,Finnish Whisky,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=28
Beverage,Fruit Juice,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=886
Beverage,Gin,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=23
